name,rooms,area,district,floor,uprice,sprice,age
贝越流明新苑,5,126.62,张江,6,54888,695,14
淮海世纪花苑,6,148.49,新华路,20,64650,960,15
虹延小区,2,40.53,西郊,5,63656,258,22
双花公寓,3,77.7,黄兴公园,19,64350,500,26
金谷苑,1,42.98,中山公园,19,68869,296,23
南文大厦,5,145.12,老西门,27,75799,1100,17
四达路25弄,2,34.81,鲁迅公园,6,68371,238,40
大二小区,1,37.6,曲阳,6,66489,250,32
玉峰花园,4,105.23,阳城,6,47514,500,22
申亚新华府,6,189.59,新华路,30,76480,1450,15
南杨小区(长清路),3,65.58,三林,6,53369,350,22
御桥馨华苑,6,107.43,御桥,6,59573,640,13
文化名园,5,106.02,五角场,6,58007,615,14
共富二村,5,109.85,共富,6,41420,455,11
明园森林都市,5,147.9,大宁,33,70993,1050,4
中华小区,2,47.67,新华路,7,69225,330,21
尊园,5,154.8,徐家汇,37,104651,1620,14
呼玛二村,2,47.44,张庙,6,39629,188,27
延武机电大楼,4,74.0,新华路,22,78378,580,27
梅苑,2,44.23,华东理工,6,55392,245,23
东浜小区,2,44.22,镇宁路,6,81411,360,20
斜土新村,3,55.9,打浦桥,7,80500,450,30
打浦路210弄,2,42.0,打浦桥,5,78571,330,30
毕加索小镇(一期)(公寓),2,59.87,唐镇,8,65141,390,7
零陵小区,2,47.0,徐家汇,5,78723,370,42
和平花苑,3,90.25,鞍山,34,75900,685,20
瞿溪路937弄,2,41.55,五里桥,6,75090,312,18
竹园新村(浦东),2,39.88,源深,6,80240,320,28
民主敦发小区,2,61.58,张庙,6,43845,270,20
港机新村,2,50.9,南码头,5,58939,300,36
康桥月苑,3,71.94,康桥,6,44481,320,8
阳光威尼斯(三期),5,112.04,真光,26,45519,510,11
上川路1468弄,5,94.31,曹路,6,35309,333,22
东安四村,2,39.25,徐家汇,6,81528,320,39
中远两湾城,5,141.96,中远两湾城,34,72555,1030,11
曲阳新村,4,84.79,鲁迅公园,6,73121,620,23
蒙西小区,1,33.25,五里桥,7,98646,328,21
新梅共和城,5,115.74,大宁,14,80352,930,13
上海未来,4,101.62,金杨,7,85121,865,12
万邦都市花园,2,54.8,北蔡,11,91240,500,13
控江路650弄,3,50.57,控江路,6,58334,295,37
经纬阳光水岸家园(一期),4,110.58,上大,11,51546,570,12
白雪公主,5,114.14,七宝,11,56947,650,13
浣纱五村,3,89.71,黄兴公园,25,66882,600,20
御翠豪庭,5,166.94,古北,27,101832,1700,9
缘圆宝邸,4,72.91,江桥,7,47318,345,9
岭南路100弄,2,41.84,彭浦,6,57361,240,27
徐家汇花园,4,102.75,徐家汇,22,97323,1000,17
武宁路200弄,3,51.38,武宁,5,81743,420,38
三湘四季花城,2,58.21,松江大学城,18,46383,270,10
香溢花城(住宅),5,138.67,光新,8,79325,1100,11
上海绿城,5,120.83,杨东,11,78209,945,13
通河四村,3,53.03,通河,6,49971,265,23
兴泉小区,3,58.81,彭浦,6,54412,320,21
闸殷路195弄,3,43.7,中原,6,52631,230,26
达安花园,5,134.6,曹家渡,28,89153,1200,14
上大阳光乾泽园,5,112.6,上大,6,44404,500,16
新凯家园,4,81.57,泗泾,11,34939,285,11
虹桥豪苑,5,178.92,虹桥,37,87636,1568,11
杉林新月环林东路875弄,4,83.48,三林,18,63488,530,11
三门路358弄,3,55.98,五角场,7,54483,305,23
君御豪庭,4,113.7,江宁路,35,109938,1250,8
中华小区,1,33.05,新华路,7,75037,248,21
柏林春天,8,178.25,莘庄,11,53856,960,14
伟业金锦苑二村,5,98.14,金桥,6,56042,550,14
荣丰花园,5,115.79,东外滩,6,73408,850,16
新凯家园,4,77.83,泗泾,14,35333,275,11
三泉路415弄,2,41.26,彭浦,6,55259,228,23
雪野二村,1,48.37,世博,16,56853,275,24
斜土新村,2,40.9,打浦桥,7,77017,315,30
汤臣豪园一期,5,192.57,张江,5,64911,1250,15
水岸秀苑,4,75.23,江桥,5,41206,310,12
瑞达苑,3,81.0,花木,6,75308,610,22
宝地东花园,4,98.89,周家嘴路,16,82920,820,5
雅州公寓,5,150.97,人民广场,31,94588,1428,14
康平大楼,3,69.14,衡山路,20,125831,870,28
斜土路1620号,3,56.88,斜土路,16,79992,455,29
泰和路309弄,3,64.38,淞宝,6,41161,265,24
好世凤凰城,4,89.33,颛桥,4,58211,520,14
好世凤凰城,4,101.96,颛桥,4,51490,525,14
鸿波大厦,3,87.48,西藏北路,24,66300,580,20
环球翡翠湾花园(公寓),4,94.46,三林,16,62460,590,11
荣乐四村,3,57.62,松江老城,6,36966,213,32
地杰国际城E欧泊时光,4,94.09,御桥,26,65894,620,10
古北菊翔苑(菊联路232弄),2,50.93,顾村,6,48105,245,9
桃林一小区,3,59.91,源深,6,105992,635,22
新领地,2,67.39,花木,29,60839,410,15
颐峰苑,5,141.16,徐家汇,18,102720,1450,12
