小区名字,户型,面积,地区,楼层,朝向,单价,总价,建成时间
贝越流明新苑,3室2厅,126.62,张江,高区/6层,朝南北,54888,695,2003
淮海世纪花苑,4室2厅,148.49,新华路,低区/20层,朝南,64650,960,2002
虹延小区,1室1厅,40.53,西郊,中区/5层,朝南,63656,258,1995
双花公寓,2室1厅,77.7,黄兴公园,中区/19层,朝南,64350,500,1991
金谷苑,1室0厅,42.98,中山公园,低区/19层,朝南,68869,296,1994
南文大厦,3室2厅,145.12,老西门,中区/27层,朝南,75799,1100,
四达路25弄,1室1厅,34.81,鲁迅公园,低区/6层,朝南,68371,238,1977
大二小区,1室0厅,37.6,曲阳,低区/6层,朝南,66489,250,1985
玉峰花园,3室1厅,105.23,阳城,高区/6层,朝南北,47514,500,1995
申亚新华府,4室2厅,189.59,新华路,低区/30层,朝南北,76480,1450,2002
南杨小区(长清路),2室1厅,65.58,三林,低区/6层,朝南北,53369,350,1995
御桥馨华苑,3室3厅,107.43,御桥,高区/6层,朝南北,59573,640,2004
文化名园,3室2厅,106.02,五角场,高区/6层,朝南北,58007,615,2003
共富二村,3室2厅,109.85,共富,中区/6层,朝南北,41420,455,2006
明园森林都市,3室2厅,147.9,大宁,低区/33层,朝南北,70993,1050,2013
中华小区,2室0厅,47.67,新华路,中区/7层,朝南,69225,330,1996
尊园,3室2厅,154.8,徐家汇,中区/37层,朝南,104651,1620,2003
呼玛二村,1室1厅,47.44,张庙,高区/6层,朝南,39629,188,1990
延武机电大楼,2室2厅,74.0,新华路,高区/22层,,78378,580,1990
梅苑,1室1厅,44.23,华东理工,低区/6层,朝南,55392,245,1994
东浜小区,1室1厅,44.22,镇宁路,中区/6层,朝南,81411,360,1997
斜土新村,2室1厅,55.9,打浦桥,低区/7层,朝南北,80500,450,1987
打浦路210弄,1室1厅,42.0,打浦桥,高区/5层,,78571,330,1987
毕加索小镇(一期)(公寓),1室1厅,59.87,唐镇,低区/8层,,65141,390,2010
零陵小区,1室1厅,47.0,徐家汇,中区/5层,朝南北,78723,370,1975
和平花苑,2室1厅,90.25,鞍山,低区/34层,,75900,685,1997
瞿溪路937弄,2室0厅,41.55,五里桥,高区/6层,朝南,75090,312,1999
竹园新村(浦东),1室1厅,39.88,源深,低区/6层,朝南,80240,320,1989
民主敦发小区,1室1厅,61.58,张庙,高区/6层,朝南北,43845,270,1997
港机新村,2室0厅,50.9,南码头,高区/5层,朝南北,58939,300,1981
康桥月苑,2室1厅,71.94,康桥,低区/6层,朝南北,44481,320,2009
阳光威尼斯(三期),3室2厅,112.04,真光,低区/26层,朝东南,45519,510,2006
上川路1468弄,3室2厅,94.31,曹路,低区/6层,朝南北,35309,333,1995
东安四村,1室1厅,39.25,徐家汇,高区/6层,朝南,81528,320,1978
中远两湾城,3室2厅,141.96,中远两湾城,高区/34层,朝南北,72555,1030,2006
曲阳新村,3室1厅,84.79,鲁迅公园,中区/6层,朝南北,73121,620,1994
蒙西小区,1室0厅,33.25,五里桥,中区/7层,朝西,98646,328,1996
新梅共和城,3室2厅,115.74,大宁,低区/14层,朝南北,80352,930,2004
上海未来,2室2厅,101.62,金杨,低区/7层,朝南,85121,865,2005
万邦都市花园,1室1厅,54.8,北蔡,中区/11层,朝南,91240,500,2004
控江路650弄,2室1厅,50.57,控江路,低区/6层,朝南北,58334,295,1980
经纬阳光水岸家园(一期),2室2厅,110.58,上大,中区/11层,朝南北,51546,570,2005
白雪公主,3室2厅,114.14,七宝,低区/11层,朝南北,56947,650,2004
浣纱五村,2室1厅,89.71,黄兴公园,高区/25层,朝西,66882,600,1997
御翠豪庭,3室2厅,166.94,古北,低区/27层,,101832,1700,2008
缘圆宝邸,2室2厅,72.91,江桥,低区/7层,朝南北,47318,345,2008
岭南路100弄,2室0厅,41.84,彭浦,高区/6层,朝南,57361,240,1990
徐家汇花园,2室2厅,102.75,徐家汇,低区/22层,朝南,97323,1000,2000
武宁路200弄,2室1厅,51.38,武宁,中区/5层,朝南,81743,420,1979
三湘四季花城,1室1厅,58.21,松江大学城,中区/18层,朝南,46383,270,2007
香溢花城(住宅),3室2厅,138.67,光新,低区/8层,朝南北,79325,1100,
上海绿城,3室2厅,120.83,杨东,低区/11层,朝南北,78209,945,2004
通河四村,2室1厅,53.03,通河,高区/6层,朝南北,49971,265,1994
兴泉小区,2室1厅,58.81,彭浦,低区/6层,朝南,54412,320,1996
闸殷路195弄,2室1厅,43.7,中原,低区/6层,朝南,52631,230,1991
达安花园,3室2厅,134.6,曹家渡,高区/28层,,89153,1200,2003
上大阳光乾泽园,3室2厅,112.6,上大,低区/6层,朝南北,44404,500,2001
新凯家园,2室2厅,81.57,泗泾,中区/11层,朝南,34939,285,2006
虹桥豪苑,3室2厅,178.92,虹桥,低区/37层,朝南北,87636,1568,2006
杉林新月环林东路875弄,2室2厅,83.48,三林,高区/18层,朝南北,63488,530,2006
三门路358弄,2室1厅,55.98,五角场,低区/7层,,54483,305,1994
君御豪庭,2室2厅,113.7,江宁路,低区/35层,朝南,109938,1250,2009
中华小区,1室0厅,33.05,新华路,中区/7层,朝南,75037,248,1996
柏林春天,6室2厅,178.25,莘庄,低区/11层,朝南北,53856,960,2003
伟业金锦苑二村,3室2厅,98.14,金桥,高区/6层,朝南北,56042,550,2003
荣丰花园,3室2厅,115.79,东外滩,低区/6层,朝南北,73408,850,2001
新凯家园,2室2厅,77.83,泗泾,低区/14层,朝南北,35333,275,2006
三泉路415弄,1室1厅,41.26,彭浦,高区/6层,朝南,55259,228,1994
雪野二村,1室0厅,48.37,世博,高区/16层,朝南,56853,275,1993
斜土新村,1室1厅,40.9,打浦桥,中区/7层,朝东,77017,315,1987
汤臣豪园一期,3室2厅,192.57,张江,高区/5层,朝南北,64911,1250,2002
水岸秀苑,2室2厅,75.23,江桥,中区/5层,朝南,41206,310,2005
瑞达苑,2室1厅,81.0,花木,中区/6层,朝南,75308,610,1995
宝地东花园,2室2厅,98.89,周家嘴路,低区/16层,,82920,820,2012
雅州公寓,3室2厅,150.97,人民广场,高区/31层,朝南北,94588,1428,
康平大楼,2室1厅,69.14,衡山路,高区/20层,朝南,125831,870,1989
斜土路1620号,2室1厅,56.88,斜土路,高区/16层,朝南,79992,455,1988
泰和路309弄,2室1厅,64.38,淞宝,低区/6层,朝南,41161,265,1993
好世凤凰城,2室2厅,89.33,颛桥,中区/4层,朝南北,58211,520,2003
好世凤凰城,2室2厅,101.96,颛桥,低区/4层,朝南北,51490,525,2003
鸿波大厦,2室1厅,87.48,西藏北路,中区/24层,朝南,66300,580,1997
环球翡翠湾花园(公寓),2室2厅,94.46,三林,低区/16层,朝南,62460,590,2006
荣乐四村,2室1厅,57.62,松江老城,低区/6层,,36966,213,1985
地杰国际城E欧泊时光,2室2厅,94.09,御桥,中区/26层,朝南,65894,620,2007
古北菊翔苑(菊联路232弄),1室1厅,50.93,顾村,低区/6层,,48105,245,2008
桃林一小区,2室1厅,59.91,源深,中区/6层,朝南,105992,635,1995
新领地,1室1厅,67.39,花木,高区/29层,朝东南,60839,410,2002
颐峰苑,3室2厅,141.16,徐家汇,低区/18层,朝南北,102720,1450,2005
慧芝湖花园,2室2厅,114.0,大宁,高区/25层,朝南,85964,980,2007
通河一村,1室1厅,45.47,张庙,中区/6层,朝南,51682,235,1994
莱茵半岛,3室2厅,125.0,中原,高区/8层,朝南北,65600,820,2002
金沙雅苑(四期),2室2厅,93.62,长征,高区/17层,朝南,71031,665,2006
海滨二村(宝山),2室0厅,46.72,淞宝,中区/6层,朝南,42808,200,1981
昭通路17号,2室1厅,53.91,南京东路,中区/5层,朝南,83472,450,1975
康平小区,1室0厅,27.8,彭浦,中区/6层,朝南,59352,165,1983
悦达花苑,3室2厅,110.88,中山公园,高区/9层,朝南北,81168,900,1999
文宝苑,2室2厅,76.19,顾村,中区/11层,朝南北,49875,380,2008
银都新村(1至7区),2室1厅,65.44,颛桥,低区/6层,朝西南,42023,275,1995
金沙雅苑(四期),2室2厅,89.0,长征,高区/18层,朝南,82584,735,2008
新泾四村,2室1厅,48.52,北新泾,中区/6层,朝南北,64921,315,1991
汇翠花园,4室2厅,194.3,徐家汇,中区/34层,朝南北,72053,1400,2003
兴南花园,3室2厅,153.24,斜土路,中区/24层,朝东南,68519,1050,1995
华升新苑,3室2厅,143.77,周家嘴路,高区/17层,朝南北,83466,1200,2004
浣纱五村,2室1厅,69.84,黄兴公园,高区/6层,朝南,62285,435,1996
安图新村,1室0厅,33.0,黄兴公园,中区/5层,朝南,66666,220,1978
南方新村,2室1厅,62.52,古美,低区/6层,朝南,58381,365,1995
古美小区,2室1厅,59.82,古美,高区/6层,朝南,47642,285,1990
同兴大楼,1室0厅,29.0,南京东路,中区/6层,朝北,88965,258,1980
圣马丽诺桥语,5室3厅,355.58,唐镇,地上2层,(进门) 南,61870,2200,2005
宝钢九村,2室1厅,63.0,淞宝,高区/13层,朝南,42063,265,1988
金羽名庭,1室2厅,75.73,洋泾,低区/11层,朝南,81605,618,2004
万里欣苑,2室2厅,96.05,万里,中区/18层,朝南,72358,695,2006
樱花园(徐汇),2室1厅,50.41,康健,低区/6层,朝南北,60503,305,1992
新梅公寓,3室2厅,119.92,古美,低区/7层,朝南,50033,600,1999
控江七村,1室1厅,29.53,控江路,高区/5层,朝南,71114,210,1984
电机一二村,2室0厅,47.78,老闵行,中区/5层,朝南北,33486,160,1977
平吉二村,1室1厅,51.0,古美,高区/6层,朝南,51372,262,1997
上南六村,1室0厅,34.6,世博,高区/5层,朝南,63583,220,1986
开鲁三村,2室1厅,75.54,中原,中区/18层,朝东南,50966,385,2000
鑫国家园,4室2厅,164.43,徐家汇,高区/24层,朝南北,94265,1550,2001
中海万锦城(一期),2室2厅,90.07,不夜城,高区/28层,朝南,93038,838,2010
新梅莘苑,2室2厅,92.0,莘庄,低区/32层,朝南,67391,620,2005
博三小区,2室1厅,62.7,金桥,低区/6层,朝南北,58213,365,1997
宝钢八村,1室1厅,33.03,淞宝,中区/5层,朝南,43899,145,1978
丽景新苑,2室1厅,66.77,丰庄,中区/5层,朝南,53167,355,1999
锦灏佳园,2室2厅,101.97,闸北公园,高区/18层,朝南,69137,705,2002
局南村,2室0厅,44.49,西藏北路,中区/6层,朝南北,65183,290,1978
红旗四街坊,2室1厅,52.93,老闵行,高区/6层,朝南,39675,210,1990
中远两湾城,2室2厅,97.43,中远两湾城,高区/30层,朝南,71846,700,2003
